# 'gammaray_to_be_skipped' is a list of pairs that stores all the pairs of 
# gate-and-spectra that (for some reasons) need to be skipped.
# Each pair should be inserted as GAMMARAY_ENERGY,GATE_ENERGY

4196.1,2378.1
887.5,1093.2
887.5,1353.1
887.5,2029.3
887.5,2378.1
887.5,3261.7
483.4,1093.2
1912.18,1101.3
4196.1,1101.3
483.4,1101.3
894.2,1101.3
894.2,2029.3
894.2,3507.9
4196.1,1212.5
887.5,1212.5
887.5,3507.9
894.2,1212.5
1538.8,1212.5
1538.8,3059.5
1912.18,3059.5
483.4,1212.5
894.2,1353.1
483.4,1353.1
4196.1,1353.1
519.7,1353.1
519.7,3031.9
519.7,3261.7
519.7,1101.3
519.7,1093.2
519.7,3507.9
894.2,1397.4
519.7,1397.4
483.4,1397.4
483.4,900.8
4168.3,3059.1
483.4,3507.9
483.4,2369.8
4196.1,1397.4
1912.18,1397.4
1912.18,2369.8
1538.8,1397.4
1538.8,1537.8
1912.18,1537.8
4196.1,1537.8
483.4,1537.8
483.4,1579.6
519.7,1537.8
887.5,1537.8
887.5,2369.8
2369.8,2927.9
894.2,1537.8
519.7,1579.6
519.7,2369.8
4196.1,1579.6
894.2,2477.0
894.2,2403.3
894.2,2725.0
887.5,2477.0
887.5,2725.0
519.7,2477.0
483.4,2477.0
4196.1,2477.0
519.7,6935.2
483.4,6935.2
894.2,900.8
887.5,900.8
519.7,900.8
4196.1,900.8
1538.8,900.8
1007.7,1092.8
1007.7,1575.2
1007.7,1277.6
1007.7,1186.6
1007.7,3093.4
1007.7,1418.1
1418.1,1188.5
1418.1,1724.5
1007.7,1619.6
646.5,1214.3
646.5,1142.9
646.5,2206.6
646.5,2219.8
646.5,3052.0
646.5,3099.2
646.5,3956.0
646.5,3991.7
682.34,667.9
682.34,738.0
738.0,678.6
738.0,1715.7
738.0,1753.1
682.34,1142.9
682.34,1576.6
682.34,1852.4
682.34,1214.3
682.34,3122.5
682.34,3596.4
682.34,2206.6
682.34,2313.6
682.34,2150.5
682.34,3099.2
682.34,3391.7
682.34,3943.7
682.34,3956.0
682.34,4032.0
1701.9,667.9
1050.6,2150.5
1701.9,2150.5
1701.9,2435.7
1701.9,2746.7
1701.9,3052.0
1701.9,3391.7
1701.9,3596.4
1701.9,3956.0
1701.9,3991.7
1314.1,667.9
1314.1,3956.0
1314.1,1142.9
1314.1,1214.3
1314.1,1576.6
1314.1,2746.7
1314.1,3596.4
1314.1,3943.7
1314.1,3991.7
5628.9,1142.9
5628.9,1825.9
682.34,1416.7
646.5,1416.7
646.5,1852.4
646.5,1869.0
1416.7,1701.9
1416.7,5355.7
646.5,2150.5
646.5,2313.6
1314.1,2313.6
646.5,2491.7
646.5,6772.3
1701.9,2491.7
1701.9,1142.9
1314.1,2491.7
1314.1,2435.7
722.6,1194.1
1194.1,5537.44
686.9,1335.0
686.9,1994.1
686.9,1812.0
686.9,1690.5
686.9,2451.1
686.9,2521.0
1091.1,2413.5
1091.1,2521.0
1091.1,2451.1
1091.1,1690.5
1091.1,1335.0
1091.1,2451.1
686.9,6731.9
1091.1,6731.9
1742.11,2521.0
1742.11,6731.9
1091.1,697.6
722.6,1691.6
2115.5,1691.6
2115.5,2521.0
722.6,2451.1
747.63,1183.5
3252.07,1183.5
733.0,1183.5
1107.98,1183.5
733.0,1324.0
747.63,1324.0
747.63,6721.0
733.0,6721.0
6721.0,733.0
6721.0,1107.98
6721.0,3252.07
3252.07,6721.0
1107.98,6721.0
703.4,1113.6
2596.1,1113.6
2596.1,1745.5
1113.6,5537.44
703.4,171.3
2596.1,171.3
703.4,6651.3
670.4,645.7
670.4,1455.1
