START LEVEL,STOP LEVEL,Integral Diff,Integral,TRANSITION,GATE,mean,sigma,amplitude,m,q,err_mean,err_sigma,err_amplitude,err_m,err_q
5775.76,5230.33,0.0000,1313.2124,545.3000,5355.7000,545.2668,0.7866,666.0555,-1.2258,2222.3690,0.0544,0.0577,40.2373,3.2244,1761.7413
5775.76,5096.87,0.0000,1351.8018,678.6000,5355.7000,678.6666,0.8761,615.5951,9.8085,-5581.8196,0.1067,0.1191,67.6622,2.4484,1635.4599
5783.15,3913.8,0.0000,468.1965,1867.4000,5348.1000,1867.2443,1.1616,160.8158,3.6078,-6554.0022,0.1265,0.1506,15.2896,2.3174,4329.0703
5892.5,4011.4,0.0000,545.8679,1878.7000,5238.8000,1879.4701,1.6123,135.1069,0.6685,-1230.4867,0.2954,0.3690,23.2005,1.0157,1897.0703
5892.5,3711.96,0.0000,2553.7187,2178.6000,5238.8000,2178.6693,1.5167,671.7235,-0.0055,27.3567,0.0478,0.0496,18.5344,0.3361,731.9751
5935.8,3776.27,0.0000,450.3569,2158.5000,5195.5000,2158.4028,1.1954,150.6251,-0.3157,719.1698,0.0997,0.1263,12.0364,0.6012,1304.3938
5995.68,4930.74,0.0000,1615.0443,1064.1000,5135.8000,1064.0876,1.2479,516.3270,0.1685,-63.1358,0.0932,0.1034,34.5283,1.1438,1207.1395
6090.9,1157.0208,0.0000,51.6088,4932.8000,5040.4000,4932.5465,1.9351,10.6398,-0.0199,97.9124,0.2848,0.3141,1.3814,0.0651,321.0921
6093.9,3044.292,0.0000,154.3108,3048.4000,5037.4000,3048.0552,1.3688,45.0682,2.2153,-6741.5867,0.3035,0.3939,8.9609,1.5348,4674.4499
6849.48,3913.8,0.0000,728.1088,2934.8000,4281.9000,2933.9216,3.5213,82.4904,-0.0234,71.2902,0.3333,0.3678,6.8752,0.1889,554.2829
6849.48,2283.119,0.0000,1437.1299,4564.7000,4281.9000,4565.1583,2.2916,250.1859,-0.0243,106.3995,0.1135,0.1156,10.7968,0.0466,212.4487
6981.69,3922.71,0.0000,1148.1071,3057.9000,4149.7000,3057.9661,1.4338,319.4448,1.9605,-5948.9055,0.0565,0.0661,11.4952,0.4165,1269.0406
